Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44,No,Travel_Rarely,798,Human Resources,20,4,Marketing,1,27,2,Female,55,4,2,Research Scientist,2,Single,10607,16870,4,Y,Yes,15,3,1,80,1,18,5,3,6,10,1,3
59,Yes,Non-Travel,1199,Sales,1,2,Life Sciences,1,28,4,Male,50,1,4,Manufacturing Director,1,Single,13646,26719,1,Y,Yes,25,3,4,80,2,23,5,1,13,1,6,9
45,No,Travel_Frequently,1300,Research & Development,1,4,Other,1,29,2,Female,31,4,3,Research Scientist,4,Single,16342,21300,7,Y,No,24,3,1,80,0,0,1,4,7,3,7,9
33,No,Non-Travel,926,Research & Development,17,1,Human Resources,1,30,3,Male,76,3,4,Sales Representative,2,Single,7013,25183,7,Y,No,12,4,2,80,1,11,2,4,11,6,0,0
32,Yes,Non-Travel,448,Sales,27,4,Marketing,1,31,4,Male,59,1,1,Sales Representative,1,Divorced,2084,4103,0,Y,No,20,4,4,80,0,13,1,1,17,14,5,9
20,No,Travel_Rarely,1378,Human Resources,1,3,Technical Degree,1,32,2,Female,56,1,3,Laboratory Technician,1,Divorced,3935,7125,3,Y,Yes,16,3,3,80,3,2,1,3,13,13,8,7
54,Yes,Travel_Rarely,407,Sales,21,3,Human Resources,1,33,1,Male,49,2,5,Sales Representative,4,Divorced,11608,8590,8,Y,Yes,19,3,3,80,2,31,3,2,0,6,6,4
24,No,Non-Travel,1468,Research & Development,20,2,Medical,1,34,2,Female,79,4,2,Sales Executive,3,Married,11262,12212,4,Y,Yes,21,3,2,80,0,15,3,1,3,0,4,9
38,Yes,Travel_Rarely,1250,Human Resources,13,1,Other,1,35,1,Female,52,1,2,Sales Executive,1,Divorced,13604,11600,9,Y,Yes,25,4,2,80,2,37,0,4,16,12,9,3
26,No,Travel_Rarely,386,Research & Development,9,3,Technical Degree,1,36,2,Male,42,3,3,Human Resources,1,Single,11713,4921,5,Y,Yes,17,3,3,80,0,9,0,4,17,11,9,2
56,Yes,Travel_Rarely,865,Sales,15,4,Human Resources,1,37,2,Male,33,1,2,Manager,4,Divorced,19885,6734,2,Y,Yes,24,4,2,80,1,16,2,2,18,11,8,8
35,No,Non-Travel,824,Human Resources,3,3,Life Sciences,1,38,2,Female,43,1,5,Healthcare Representative,3,Single,4473,21757,4,Y,No,18,4,1,80,3,39,3,4,3,0,1,5
21,No,Travel_Rarely,861,Research & Development,14,3,Medical,1,39,1,Female,49,2,4,Manager,2,Divorced,2735,25138,0,Y,Yes,12,4,3,80,0,3,4,4,5,2,6,0
42,No,Non-Travel,482,Research & Development,23,2,Technical Degree,1,40,2,Male,42,3,5,Manager,3,Single,4838,18037,7,Y,Yes,21,3,4,80,1,14,0,2,7,1,8,7
31,No,Travel_Rarely,487,Research & Development,11,4,Life Sciences,1,41,4,Female,32,3,2,Sales Executive,3,Divorced,4562,2836,5,Y,No,23,4,3,80,3,32,0,4,14,2,1,9
26,No,Travel_Frequently,624,Sales,24,4,Other,1,42,4,Male,76,4,4,Healthcare Representative,4,Single,15440,14094,1,Y,No,24,4,2,80,0,38,3,4,19,3,9,1
43,No,Travel_Rarely,738,Human Resources,22,4,Medical,1,43,4,Female,32,3,5,Human Resources,3,Single,5906,11028,3,Y,No,19,3,1,80,0,9,3,3,0,13,5,8
19,No,Travel_Rarely,1037,Sales,12,2,Marketing,1,44,1,Male,30,1,1,Manufacturing Director,4,Married,3272,12749,3,Y,No,13,3,4,80,1,6,2,1,4,6,8,6
37,No,Non-Travel,375,Sales,13,4,Life Sciences,1,45,1,Female,53,3,1,Laboratory Technician,2,Divorced,6836,17432,8,Y,No,20,3,3,80,3,32,3,3,15,1,2,2
45,No,Non-Travel,599,Sales,26,4,Human Resources,1,46,4,Female,64,3,4,Sales Executive,1,Single,3862,13051,8,Y,Yes,15,4,3,80,3,16,6,3,5,6,7,3
24,No,Travel_Rarely,816,Human Resources,13,3,Technical Degree,1,47,4,Male,43,1,4,Research Scientist,1,Divorced,6226,25091,4,Y,Yes,24,4,4,80,1,11,1,4,9,14,4,2
25,No,Travel_Frequently,436,Sales,1,3,Medical,1,48,4,Female,96,2,4,Laboratory Technician,4,Single,14610,17586,2,Y,No,17,3,1,80,2,16,5,1,9,4,6,5
52,No,Travel_Rarely,1031,Sales,24,4,Life Sciences,1,49,3,Female,42,4,1,Manufacturing Director,4,Married,11014,7312,0,Y,No,14,4,2,80,1,15,4,1,4,14,2,8
31,No,Travel_Rarely,580,Sales,10,1,Marketing,1,50,4,Female,76,4,5,Sales Representative,3,Married,18926,5822,5,Y,Yes,17,3,2,80,3,13,5,4,7,7,7,9
34,Yes,Travel_Frequently,1010,Sales,3,1,Technical Degree,1,51,2,Female,79,2,4,Manager,3,Married,8209,24537,7,Y,No,18,3,2,80,1,2,1,3,0,7,1,8
53,Yes,Non-Travel,1396,Research & Development,24,4,Technical Degree,1,52,3,Female,55,1,1,Research Director,1,Married,12270,13622,0,Y,Yes,25,4,2,80,2,29,6,3,4,4,7,0
57,No,Travel_Rarely,1181,Sales,28,1,Life Sciences,1,53,3,Female,32,4,4,Human Resources,1,Single,19268,18099,0,Y,Yes,23,4,4,80,1,34,6,3,0,9,1,9
21,No,Non-Travel,1451,Research & Development,4,2,Marketing,1,54,1,Female,80,2,4,Manager,1,Divorced,5649,19188,6,Y,No,20,4,1,80,1,25,1,1,6,7,6,5
19,No,Non-Travel,208,Sales,16,3,Other,1,55,2,Male,69,2,4,Sales Representative,4,Married,16126,3075,6,Y,Yes,24,4,1,80,0,11,5,4,14,11,1,0
23,No,Travel_Frequently,1402,Human Resources,8,2,Other,1,56,1,Female,97,2,1,Manufacturing Director,2,Married,18073,16063,1,Y,Yes,20,3,3,80,2,30,1,1,13,13,6,3
59,No,Travel_Frequently,427,Research & Development,16,3,Medical,1,57,1,Female,65,4,5,Research Scientist,2,Married,5666,18383,2,Y,Yes,14,3,3,80,3,16,0,3,8,8,0,6
21,No,Non-Travel,414,Research & Development,27,1,Life Sciences,1,58,2,Male,80,4,1,Human Resources,4,Divorced,15357,11605,1,Y,Yes,25,4,1,80,2,36,6,1,7,6,5,3
46,No,Travel_Rarely,1234,Research & Development,17,1,Medical,1,59,1,Female,30,4,1,Human Resources,3,Single,17448,6452,5,Y,No,15,4,3,80,3,7,5,1,7,5,9,8
35,Yes,Non-Travel,798,Research & Development,19,4,Other,1,60,2,Female,62,4,4,Manufacturing Director,2,Single,11913,20047,7,Y,No,21,4,1,80,3,18,1,4,2,6,6,9
43,No,Travel_Rarely,880,Human Resources,22,1,Technical Degree,1,61,2,Male,36,3,3,Laboratory Technician,3,Single,10566,14298,7,Y,No,13,3,4,80,0,25,0,4,19,6,3,4
51,No,Travel_Rarely,1352,Sales,15,1,Medical,1,62,1,Female,81,2,3,Manager,1,Single,17605,14368,0,Y,No,15,3,4,80,2,3,3,1,3,2,0,8
27,No,Travel_Frequently,255,Research & Development,16,4,Marketing,1,63,4,Female,40,3,3,Laboratory Technician,1,Divorced,2557,9428,8,Y,No,18,4,2,80,0,14,6,2,16,5,5,0
53,No,Travel_Rarely,1395,Human Resources,15,4,Human Resources,1,64,1,Male,56,2,1,Sales Executive,3,Divorced,11472,20437,7,Y,Yes,13,3,1,80,1,13,4,4,5,5,3,3
31,Yes,Travel_Rarely,986,Research & Development,25,3,Other,1,65,3,Male,43,4,4,Manufacturing Director,1,Divorced,13615,17817,8,Y,Yes,25,3,4,80,2,29,4,2,1,10,2,6
48,Yes,Non-Travel,1125,Sales,2,1,Other,1,66,1,Female,75,4,3,Sales Executive,4,Married,8040,4420,8,Y,Yes,24,3,1,80,1,23,1,4,8,8,3,1
32,No,Travel_Frequently,857,Research & Development,11,3,Marketing,1,67,2,Female,39,3,2,Research Scientist,3,Divorced,15884,20912,5,Y,Yes,23,3,3,80,2,33,4,3,13,0,5,8
25,No,Travel_Rarely,821,Human Resources,1,3,Medical,1,68,3,Male,53,1,2,Laboratory Technician,3,Single,3128,6317,2,Y,No,15,4,1,80,3,18,0,2,0,12,4,2
31,Yes,Travel_Rarely,1012,Sales,15,2,Life Sciences,1,69,2,Female,90,4,2,Research Director,3,Divorced,19744,26361,0,Y,No,20,4,2,80,1,2,3,3,16,6,1,3
40,No,Travel_Frequently,1409,Human Resources,26,1,Technical Degree,1,70,4,Male,47,1,5,Manufacturing Director,2,Married,11292,25611,7,Y,Yes,11,4,2,80,2,3,1,3,10,0,1,3
57,No,Non-Travel,970,Sales,19,1,Human Resources,1,71,4,Male,38,2,4,Manufacturing Director,3,Single,7349,10412,9,Y,No,12,4,4,80,2,10,2,1,5,9,2,7
38,No,Travel_Frequently,112,Sales,4,2,Life Sciences,1,72,3,Male,46,3,1,Human Resources,3,Divorced,14319,18321,2,Y,Yes,13,3,3,80,1,12,5,3,0,12,5,1
33,No,Travel_Frequently,707,Sales,11,3,Life Sciences,1,73,4,Female,87,1,1,Sales Representative,3,Single,11823,2227,6,Y,Yes,11,4,3,80,0,17,6,3,18,3,0,4
35,No,Travel_Rarely,597,Research & Development,5,1,Marketing,1,74,4,Male,42,1,4,Research Scientist,2,Single,2057,20721,9,Y,No,23,4,1,80,2,18,4,3,15,12,6,1
41,No,Travel_Rarely,337,Human Resources,3,3,Medical,1,75,1,Male,79,4,5,Laboratory Technician,1,Divorced,10503,13456,5,Y,No,21,4,3,80,0,32,4,3,17,6,7,5
43,No,Non-Travel,1217,Human Resources,13,2,Other,1,76,1,Male,35,1,4,Manufacturing Director,2,Divorced,12193,2955,2,Y,No,22,4,2,80,0,37,1,1,10,5,6,8
42,Yes,Travel_Rarely,1461,Human Resources,10,4,Other,1,77,4,Female,80,1,5,Manufacturing Director,4,Married,7493,19881,5,Y,Yes,21,4,4,80,0,2,5,1,8,5,2,8
58,No,Travel_Rarely,880,Sales,11,3,Marketing,1,78,4,Female,65,2,3,Research Director,3,Divorced,5877,11472,2,Y,No,19,3,4,80,0,34,5,3,5,4,5,0
46,No,Travel_Frequently,1294,Research & Development,18,1,Medical,1,79,1,Female,54,3,3,Manager,4,Divorced,4282,3978,8,Y,Yes,19,4,4,80,0,0,4,2,1,10,3,3
32,Yes,Travel_Rarely,705,Sales,2,4,Marketing,1,80,4,Male,40,4,5,Laboratory Technician,2,Divorced,13375,19913,0,Y,No,15,3,3,80,3,34,4,4,7,6,4,3
18,No,Non-Travel,760,Human Resources,7,3,Other,1,81,4,Female,73,4,4,Human Resources,1,Single,3431,14675,7,Y,Yes,24,3,3,80,0,35,2,2,15,8,2,0
42,No,Travel_Frequently,948,Research & Development,9,3,Life Sciences,1,82,2,Female,43,1,3,Research Director,1,Married,14526,21046,4,Y,No,14,3,2,80,3,37,5,3,7,13,4,9
24,No,Non-Travel,1035,Research & Development,10,4,Technical Degree,1,83,4,Male,58,2,4,Human Resources,3,Single,3775,24817,3,Y,Yes,15,3,1,80,2,38,0,1,7,5,5,1
26,No,Travel_Frequently,727,Research & Development,18,4,Medical,1,84,3,Male,79,1,3,Healthcare Representative,1,Divorced,13351,18128,0,Y,Yes,14,3,1,80,3,24,6,3,13,9,7,5
41,No,Travel_Rarely,242,Human Resources,23,4,Human Resources,1,85,2,Female,34,1,4,Laboratory Technician,2,Married,16639,17668,8,Y,No,22,3,4,80,3,39,1,3,0,6,5,9
18,No,Travel_Frequently,1324,Research & Development,7,1,Human Resources,1,86,3,Female,98,4,4,Manufacturing Director,2,Divorced,6385,9445,8,Y,Yes,15,4,4,80,0,12,1,1,6,8,8,2
25,No,Travel_Frequently,1303,Research & Development,27,1,Life Sciences,1,87,4,Male,86,1,2,Healthcare Representative,1,Single,17203,6284,4,Y,No,17,3,3,80,2,3,2,2,1,6,9,8
41,No,Travel_Rarely,813,Sales,7,3,Marketing,1,88,1,Female,55,1,5,Human Resources,3,Single,5974,19585,8,Y,No,21,4,4,80,2,5,6,4,14,5,9,2
28,No,Travel_Rarely,1487,Sales,3,3,Marketing,1,89,2,Male,35,2,1,Human Resources,3,Divorced,7905,9131,9,Y,No,18,3,2,80,2,10,2,3,17,2,9,2
34,No,Non-Travel,578,Research & Development,12,2,Other,1,90,1,Male,45,4,5,Laboratory Technician,2,Married,6465,12614,8,Y,Yes,12,3,2,80,1,0,0,1,3,13,9,8
25,No,Non-Travel,664,Research & Development,7,1,Life Sciences,1,91,2,Female,89,3,4,Sales Representative,1,Single,8945,2759,6,Y,No,14,3,4,80,3,7,3,4,17,0,3,2
52,No,Travel_Rarely,570,Sales,17,3,Other,1,92,1,Female,41,2,4,Manager,2,Divorced,13058,23957,7,Y,Yes,18,4,4,80,0,33,1,4,4,9,1,5
52,No,Travel_Rarely,483,Sales,26,4,Other,1,93,2,Female,32,2,5,Manufacturing Director,2,Divorced,14636,23545,0,Y,No,17,3,4,80,1,39,5,4,15,8,8,5
50,No,Travel_Rarely,1025,Sales,1,4,Human Resources,1,94,2,Female,92,2,4,Healthcare Representative,4,Divorced,4302,22673,3,Y,No,19,3,4,80,0,8,6,1,12,6,2,0
22,No,Travel_Frequently,516,Human Resources,5,1,Other,1,95,3,Male,93,4,3,Research Scientist,2,Married,6966,23830,9,Y,Yes,15,4,4,80,1,35,4,3,8,14,6,6
59,No,Travel_Frequently,407,Human Resources,16,4,Other,1,96,1,Female,91,1,4,Sales Representative,3,Divorced,15447,15684,9,Y,Yes,16,3,2,80,2,38,6,1,4,2,3,8
56,Yes,Travel_Frequently,748,Sales,15,2,Human Resources,1,97,3,Female,35,3,5,Manufacturing Director,1,Divorced,16162,11680,3,Y,No,25,3,1,80,1,36,0,3,7,9,0,8
58,No,Travel_Rarely,1490,Research & Development,2,3,Marketing,1,98,3,Female,48,4,5,Research Scientist,1,Single,18058,22642,8,Y,Yes,21,3,2,80,2,20,1,2,17,8,7,8
45,Yes,Non-Travel,1124,Sales,9,3,Medical,1,99,1,Male,47,1,5,Manager,4,Divorced,10714,6371,2,Y,No,18,4,2,80,1,19,5,4,2,2,3,1
24,Yes,Travel_Rarely,1167,Human Resources,7,3,Technical Degree,1,100,2,Female,72,2,2,Research Scientist,4,Married,12899,14651,9,Y,Yes,25,3,4,80,0,37,0,3,5,2,5,0
26,No,Travel_Frequently,838,Research & Development,4,1,Other,1,101,3,Female,32,4,2,Research Scientist,3,Divorced,4998,3665,9,Y,Yes,22,3,1,80,0,0,3,2,10,12,6,5
25,No,Travel_Frequently,1221,Human Resources,20,4,Medical,1,102,1,Male,67,1,2,Sales Representative,4,Married,2909,8918,0,Y,No,24,4,4,80,1,34,5,1,13,13,7,5
29,Yes,Travel_Rarely,1388,Research & Development,18,2,Human Resources,1,103,2,Male,97,3,2,Sales Executive,2,Divorced,14729,25007,4,Y,Yes,25,4,2,80,3,27,1,4,18,6,9,3
51,No,Travel_Rarely,239,Human Resources,21,1,Medical,1,104,3,Male,73,3,2,Sales Representative,2,Divorced,3880,12194,6,Y,No,21,3,1,80,3,6,6,3,6,1,1,7
50,No,Travel_Frequently,1360,Research & Development,4,3,Technical Degree,1,105,3,Male,92,1,2,Healthcare Representative,3,Divorced,14497,25816,3,Y,No,25,3,3,80,1,8,4,4,9,9,8,4
40,No,Travel_Frequently,1073,Research & Development,28,2,Medical,1,106,3,Male,71,4,2,Sales Executive,1,Married,9527,25066,8,Y,Yes,15,3,4,80,3,0,5,4,14,13,9,6
41,No,Travel_Frequently,1116,Research & Development,13,3,Medical,1,107,2,Female,93,2,5,Manager,3,Single,7696,13213,5,Y,No,24,3,3,80,0,35,1,4,5,6,2,8
54,No,Travel_Rarely,1052,Research & Development,1,3,Medical,1,108,3,Male,83,1,1,Sales Representative,4,Married,5072,17745,5,Y,Yes,19,4,3,80,3,33,0,1,19,6,0,0
52,No,Travel_Frequently,1003,Human Resources,28,1,Medical,1,109,2,Male,66,2,2,Sales Executive,1,Single,14018,24612,2,Y,Yes,14,4,3,80,1,33,3,4,5,0,1,8
57,Yes,Travel_Frequently,171,Human Resources,24,3,Life Sciences,1,110,4,Male,33,3,5,Human Resources,1,Married,6476,24211,9,Y,No,18,4,3,80,3,16,5,3,15,12,7,3
39,No,Non-Travel,1313,Research & Development,3,2,Other,1,111,3,Male,31,1,1,Sales Representative,1,Divorced,13067,23819,9,Y,Yes,22,3,1,80,1,31,0,1,8,9,9,6
44,No,Travel_Rarely,1391,Research & Development,16,3,Human Resources,1,112,4,Male,73,3,2,Sales Executive,4,Divorced,6489,9636,4,Y,No,24,4,4,80,0,1,0,2,18,10,5,3
52,No,Non-Travel,1444,Human Resources,22,4,Technical Degree,1,113,1,Male,96,2,1,Laboratory Technician,2,Single,18219,19749,9,Y,No,13,4,1,80,2,35,2,3,17,1,0,3
18,No,Non-Travel,206,Research & Development,4,3,Human Resources,1,114,3,Male,97,2,1,Healthcare Representative,2,Single,16367,9344,5,Y,Yes,15,3,4,80,0,24,0,1,4,4,8,3
52,No,Travel_Frequently,1355,Research & Development,25,1,Life Sciences,1,115,1,Male,91,1,3,Manufacturing Director,4,Married,8855,5201,3,Y,Yes,25,3,4,80,0,25,6,3,15,13,6,5
54,No,Travel_Rarely,1165,Research & Development,23,2,Life Sciences,1,116,1,Female,30,1,4,Research Scientist,4,Married,5097,6752,2,Y,No,18,3,4,80,1,25,5,3,6,3,9,4
31,No,Travel_Frequently,982,Sales,25,1,Life Sciences,1,117,1,Female,46,1,3,Sales Executive,3,Single,13817,11575,4,Y,No,25,3,1,80,0,20,3,2,18,13,2,1
20,No,Travel_Rarely,238,Research & Development,16,4,Other,1,118,4,Female,45,3,1,Manufacturing Director,3,Single,3084,12327,6,Y,No,20,3,2,80,0,17,4,1,4,2,6,8
18,No,Non-Travel,714,Sales,26,3,Life Sciences,1,119,2,Male,38,2,5,Sales Representative,2,Married,2552,17891,5,Y,Yes,22,3,3,80,3,28,2,4,19,9,5,5
22,No,Travel_Rarely,962,Research & Development,19,1,Medical,1,120,4,Male,82,2,2,Manufacturing Director,4,Single,3153,15029,1,Y,Yes,17,4,2,80,1,23,0,3,10,13,2,9
43,No,Travel_Frequently,372,Human Resources,1,1,Human Resources,1,121,4,Male,88,3,4,Human Resources,3,Single,19077,8091,0,Y,No,11,3,2,80,3,27,5,3,17,10,7,5
31,Yes,Travel_Frequently,515,Sales,5,1,Marketing,1,122,1,Female,38,1,2,Research Director,4,Single,10689,24998,4,Y,Yes,22,3,2,80,1,11,6,3,6,7,0,8
56,No,Travel_Frequently,605,Sales,19,1,Technical Degree,1,123,3,Male,41,4,5,Research Director,4,Single,15483,19905,4,Y,No,14,4,3,80,3,10,6,3,17,6,4,0
44,No,Travel_Rarely,832,Research & Development,22,4,Life Sciences,1,124,2,Male,70,1,4,Healthcare Representative,2,Divorced,17034,17866,5,Y,Yes,12,4,2,80,3,26,6,3,2,8,7,6
26,No,Non-Travel,523,Research & Development,24,4,Human Resources,1,125,1,Male,44,4,3,Sales Executive,2,Divorced,14159,9521,2,Y,No,12,4,3,80,2,22,1,1,4,2,2,2
32,No,Non-Travel,489,Sales,11,3,Life Sciences,1,126,2,Female,95,4,1,Human Resources,4,Single,2805,24943,0,Y,No,23,4,3,80,0,32,2,3,12,9,9,3
32,No,Travel_Rarely,441,Human Resources,13,3,Other,1,127,4,Female,40,3,5,Research Scientist,1,Married,2920,17410,3,Y,No,25,4,3,80,3,15,3,3,15,0,5,0
43,No,Travel_Frequently,1045,Human Resources,20,2,Life Sciences,1,128,2,Male,37,2,1,Manager,1,Divorced,15162,20007,3,Y,No,17,3,4,80,2,27,1,3,11,8,9,2
59,No,Non-Travel,713,Research & Development,5,4,Life Sciences,1,129,2,Female,84,2,1,Healthcare Representative,4,Married,3443,21518,9,Y,No,22,3,4,80,3,27,3,4,6,8,1,6
30,No,Travel_Frequently,592,Human Resources,21,1,Life Sciences,1,130,3,Male,35,2,2,Research Director,2,Married,9048,7820,1,Y,No,22,4,2,80,3,37,1,4,12,11,8,5
49,No,Travel_Rarely,291,Human Resources,4,1,Life Sciences,1,131,1,Male,82,2,5,Laboratory Technician,1,Divorced,15707,13453,7,Y,Yes,13,4,4,80,2,5,4,1,0,11,1,0
56,No,Travel_Frequently,598,Research & Development,4,2,Technical Degree,1,132,2,Female,49,3,1,Manager,2,Married,19929,23378,5,Y,No,13,4,3,80,2,28,3,3,14,0,4,8
49,No,Non-Travel,921,Human Resources,4,1,Human Resources,1,133,2,Female,68,4,3,Manager,1,Married,3210,6696,2,Y,No,25,4,4,80,2,33,1,3,11,13,2,3
21,Yes,Non-Travel,1356,Research & Development,4,2,Other,1,134,4,Female,63,2,4,Laboratory Technician,4,Single,18004,3867,0,Y,No,16,3,3,80,0,2,6,2,16,7,9,6
47,Yes,Travel_Frequently,326,Sales,20,3,Life Sciences,1,135,4,Female,86,4,5,Sales Representative,3,Single,12272,17723,2,Y,No,16,4,1,80,0,5,3,4,19,13,8,3
54,No,Travel_Rarely,1494,Research & Development,21,4,Life Sciences,1,136,2,Male,48,3,2,Manufacturing Director,3,Single,8212,21207,7,Y,No,11,4,4,80,3,37,2,2,4,13,8,6
40,Yes,Travel_Frequently,238,Sales,18,2,Life Sciences,1,137,1,Male,60,1,5,Healthcare Representative,2,Divorced,12340,13817,3,Y,Yes,25,3,2,80,0,12,3,3,16,9,6,4
56,No,Travel_Rarely,955,Sales,18,1,Life Sciences,1,138,2,Female,69,3,2,Human Resources,2,Single,11700,24490,2,Y,No,25,3,1,80,2,35,5,3,14,0,9,0
32,No,Travel_Frequently,916,Human Resources,16,2,Medical,1,139,2,Female,43,2,4,Manager,1,Married,19297,2168,3,Y,No,25,3,1,80,1,14,3,2,19,5,4,3
46,No,Non-Travel,1272,Human Resources,9,3,Medical,1,140,3,Male,66,1,3,Manufacturing Director,4,Married,10581,26171,3,Y,No,11,4,4,80,0,5,1,1,18,8,8,2
